url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-diesel-at-cars-New-Delhi_26f5ca99-963f-4f30-b665-43be2030b0a4.htm,2022 Kia Seltos GTX Plus Diesel AT,₹16.50 LakhMake Your Offer,Jun 2022,Third Party,Diesel,5 Seats,"24,000 Kms",First Owner,1493 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-New-Delhi_5668a3b9-900f-461d-b77b-48af331ba02a.htm,2023 Kia Seltos HTX IVT,₹15.25 LakhMake Your Offer,Oct 2023,Comprehensive,Petrol,5 Seats,"30,000 Kms",First Owner,1497 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-cvt-cars-New-Delhi_80949b4c-835a-4a14-8868-346c58987842.htm,2023 MG Hector Sharp CVT,₹16.75 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,5 Seats,"18,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-opt-diesel-at-cars-New-Delhi_1f28a4ca-450b-4708-a585-669537e4655b.htm,2023 Kia Carens Luxury Opt Diesel AT,₹17.60 LakhMake Your Offer,Jan 2024,Comprehensive,Diesel,7 Seats,"5,800 Kms",First Owner,1493 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-signature-o-at-cars-New-Delhi_9af5f5c6-4881-44e9-9ec6-97dd6666589f.htm,2023 Hyundai Alcazar Signature (O) AT,₹17.95 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,6 Seats,"12,000 Kms",First Owner,1999 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Honda-elevate-vx-cvt-non-rf-cars-New-Delhi_2d0f4247-0506-4902-8fbd-0ad5bdc1a8af.htm?adId=13137&adType=41,2025 Honda Elevate VX CVT Non RF,₹16 Lakh,2025,-,Petrol,5 Seats,"10,000 Kms",First Owner,1498 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_a9bdbb74-5dfd-4e53-be45-4557a78a88d6.htm,2024 Kia Seltos GTX Plus Turbo DCT,₹17.90 LakhMake Your Offer,Dec 2024,Comprehensive,Petrol,5 Seats,"25,543 Kms",First Owner,1482 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-diesel-at-cars-New-Delhi_e5289d5d-2337-43f8-bc9c-4598b9a78bb3.htm,2024 Kia Seltos HTX Diesel AT,₹17.99 LakhMake Your Offer,May 2024,Comprehensive,Diesel,5 Seats,"39,999 Kms",First Owner,1493 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-cars-New-Delhi_1a75a1b5-fa46-4a98-937b-5ca339eaccee.htm,2025 MG Hector Plus Sharp Pro CVT,₹19.75 LakhMake Your Offer,May 2025,Comprehensive,Petrol,6 Seats,"7,000 Kms",First Owner,1451 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-pro-cvt-cars-New-Delhi_c52c159f-854c-4fdd-a1e2-1715f56d8399.htm,2024 MG Hector Sharp Pro CVT,₹18 LakhMake Your Offer,Jul 2024,-,Petrol,5 Seats,"15,000 Kms",First Owner,1451 cc,Automatic,2024
